hit_count,greek,english
23187,ειμαι,I am
23135,φεύγω,I'm leaving
23135,κάντε,do
23135,αφήσουμε,let
23126,σάρα,scree
23057,άκουσες,did you hear
23030,μoυ,me
23013,γραμμή,line
22978,μισώ,I hate
22964,ψηλά,high up
22943,αδερφός,brother
22930,απάντηση,answer
22900,χώρο,space
22850,έλεγες,you were saying
22837,πόδι,foot
22828,ζωντανός,live
22804,σκηνή,scene
22791,αισθάνομαι,feel
22780,εκ,from
22775,τελείως,completely
22760,νωρίς,early
22754,μάνα,mother
22705,πίστευα,I believed
22704,δουλεύεις,are you working
22686,παίρνω,I get
22655,γιαγιά,grandmother
22624,αγόρια,boys
22611,σκέψου,think
22592,ζήτησε,asked
22565,κάνατε,you did
22542,παράξενο,strangeness
22525,πιστεύει,believes
22523,αγαπάς,you love
22510,παρέα,company
22442,ορκίζομαι,swear
22369,έστειλε,sent
22349,χάρηκα,nice to met you
22339,tι,ti
22333,τραγούδι,song
22331,μπαρ,bar
22325,τραπέζι,table
22239,εβδομάδες,weeks
22197,πήγες,sources
22160,ναί,Yes
22133,παλιό,old
22133,σήμα,signal
22089,χιλιάδες,thousands
22085,συγχαρητήρια,congratulations
22065,αντί,instead
22036,θανάτου,death
21991,φωνή,voice
21988,μπάνιο,bathroom
21975,προσπαθεί,tries
21967,φαίνεσαι,You seem
21950,έβαλε,put
21910,ύπνο,sleep
21848,επόμενο,Next
21820,δικαίωμα,right
21812,λέγεται,it is said
21805,τηλεόραση,TV
21743,τέσσερα,four
21741,κάποιοι,some
21734,επαφή,contact
21725,κλειδί,key
21700,κρίμα,pity
21669,μικρός,small
21668,πεθάνω,die
21633,δώ,see
21613,σύμφωνα,according
21589,μάικ,Mike
21579,ει,in
21493,i,i
21491,κ,K
21489,διαφορετικά,different
21471,s,s
21387,λίγες,few
21379,κίνηση,movement
21374,έδωσα,I gave
21373,απόφαση,decision
21353,αεροπλάνο,airplane
21273,μάχη,battle
21227,τρελό,crazy
21189,χάσει,missed
21144,κοιτάς,you look
21133,ανήκει,belongs
21087,εγω,I
21079,μαγαζί,shop
21076,πρόγραμμα,program
21038,λιγάκι,a little bit
21033,φέρει,carry
20996,αρκετό,enough
20989,ειδικά,especially
20983,μείνετε,stay
20978,κύριο,main
20961,γεγονός,fact
20937,έκπληξη,surprise
20894,αφήσει,left
20871,βάλει,put
20825,δις,twice
20824,προσέχεις,care
20819,πρεπε,PRESS
20816,κόσμου,world
20786,ακούσω,hear
20773,δεξιά,right
20753,ζητήσω,ask
20710,μαλακίες,shit
20710,ζει,he lives
20696,σταματήσεις,stopping
20679,βασιλιάς,king
20646,προσπάθησα,I tried
20593,ποιό,wich one
20563,συνάντηση,meeting
20547,χρονών,years
20491,νεκρή,dead
20476,φόνο,murder
20469,κινητό,mobile
20456,πιστέψω,believe
20404,γύρνα,round
20395,έφερα,brought
20368,υόρκη,York
20334,ψυχή,soul
20326,βάλεις,you put
20254,επιστρέψω,return
20201,πηγαίνω,I am going
20185,γιατρό,doctor
20173,πεθάνεις,you die
20114,άρχισε,began
20034,μηχανή,machine
20032,ασφαλής,safe
20014,προσπαθείς,you try
19973,γιατι,why
19964,άνοιξε,Open
19957,ψάχνω,I am looking
19897,ησυχία,quiet
19854,μπει,enters
19848,απόγευμα,afternoon
19845,μέτρα,meters
19817,προσωπικό,staff
19775,πρόεδρος,chairman
19768,νούμερο,number
19757,καταλάβει,understand
19754,βασιλιά,king
19748,καλησπέρα,Good Evening
19716,σκεφτώ,think
19635,πολυ,very
19578,αγαπάω,love
19568,δυνατά,loudly
19558,έφερε,brought
19549,αναφορά,report
19543,σήκω,get up
19512,καταλάβω,understand
19480,τέσσερις,four
19473,υπέροχη,superiority
19458,δεύτερη,second
19433,εύκολα,easily
19375,αποδείξεις,proof
19352,πρεπει,must
19324,νωρίτερα,earlier
19309,γράμμα,letter
19304,πολλούς,many
19257,ασφαλείας,security
19256,ολα,all
19250,γυρίσει,turns
19237,χριστούγεννα,Christmas
19200,βόλτα,ride
19193,γνωρίζεις,do you know
19184,team,team
19175,περάσω,pass
19173,δικαστήριο,court
19158,ξέχνα,forget
19158,πράγματι,actually
19150,δυνάμεις,forces
19149,δώσ,give it
19137,δύσκολη,difficult
19119,όνειρο,dream
19114,πρωινό,breakfast
19066,ποιοι,who
19007,ήσασταν,You were
18978,είχατε,you had
18966,τσάντα,bag
18940,παίζεις,You play
18928,χτύπησε,knocked
18891,είπατε,you said
18886,ναρκωτικά,drugs
18877,αναρωτιέμαι,I wonder
18853,βλέπει,he sees
18850,πάρετε,take
18845,ντέιβιντ,David
18828,μεγαλύτερο,greater
18828,γνώρισα,I met
18826,φαντάζομαι,I imagine
18820,κουτί,box
18793,νέος,young
18789,δυστυχώς,unfortunately
18754,βρες,find
18745,εταιρεία,company
18732,κανόνες,rules
18709,διαφορά,difference
18704,μπες,go in
18688,δίνω,I give
18674,αλλού,elsewhere
18654,σταματήσω,stop
18630,θεία,aunt
18609,απολύτως,absolutely
18585,σκότωσες,you killed
18572,ελπίδα,hope
18446,τρελή,crazy
18398,αληθινό,true
18397,μόνοι,just
18361,διαμέρισμα,apartment
18304,επιχείρηση,business
18303,άνδρας,man
18283,ξέχασα,forgot
18263,ηλίθιος,idiot
18236,όποιος,Any
18206,πήραν,they got
18203,κόλαση,hell
18183,νομίζει,thinks
18166,πηγαίνει,is going
18148,σιγά,slowly
18144,καταλάβεις,you understand
18136,fbi,fbi
18135,χειρότερο,worse
18122,πάντως,anyway
18102,βγες,go out
18080,ποιά,which
18050,απλό,simple
18041,βγήκε,got out
18037,σα,as
18028,μάθημα,lesson
17987,κρατήσει,hold
17983,παράθυρο,window
17974,εκκλησία,church
17935,κρασί,wine
17926,αγώνα,match
17903,κώλο,ass
17901,ηλικία,age
17889,αρχίσει,start
17850,μάθουμε,We learn
17815,ωχ,Ouch
17808,κάποιου,someone
17758,τάξη,class
17732,απίστευτο,incredibleness
17724,φτάνει,arrives
17719,μαξ,Max
17719,τωρα,now
17718,τσάι,tea
17708,αδερφό,brother
17702,αμερική,America
17687,λατρεύω,I adore
17686,τηv,the
17657,βίντεο,video
17647,θάλασσα,sea
17606,μίλησα,I have spoken
17602,αρχεία,archives
17575,μεγαλύτερη,greater
17562,υπήρχαν,there were
17561,κρατήσω,keep
17515,πλάτη,back
17508,όμορφα,nicely
17491,to,to
17454,κακή,bad
17451,κάρτα,card
17443,έρθουν,come
17426,σκοπό,purpose
17426,ακούσεις,you hear
17423,κάθαρμα,bastard
17388,ζωές,life
17359,νομίζετε,you think
17327,μέσω,via
17311,χρόνου,time
17303,σκοτώσουν,kill
17296,έβαλα,put
17290,δίνεις,you give
17266,έρχεσαι,are you coming
17253,μις,Miss
17231,μπήκε,entered
17221,αριστερά,left
17220,μπεν,Ben
17213,πλανήτη,planet
17204,εχουμε,we have
17203,δωμάτιό,room
17138,ενδιαφέρει,Interest
17104,εξηγήσω,explain
17065,όλων,of all
17046,σκότωσα,kill
17040,μάτι,eye
17039,στοίχημα,bet
17029,μείνουμε,we stay
17026,δυνατόν,possible
17024,γύρισε,came back
17018,πρόσωπό,face
